run	task	solver	seed	rc	minutes
cartpole-mujoco-adaptive-s45-r1	Isaac-Cartpole	mujoco-adaptive	45	0	0
reach-ur10-mujoco-s45-r1	Isaac-Reach-UR10	mujoco	45	0	9
reach-ur10-mujoco-adaptive-s45-r1	Isaac-Reach-UR10	mujoco-adaptive	45	0	13
ant-direct-mujoco-s45-r1	Isaac-Ant-Direct	mujoco	45	0	5
ant-direct-mujoco-adaptive-s45-r1	Isaac-Ant-Direct	mujoco-adaptive	45	0	16
ant-mujoco-s45-r1	Isaac-Ant	mujoco	45	0	5
ant-mujoco-adaptive-s45-r1	Isaac-Ant	mujoco-adaptive	45	0	16
humanoid-direct-mujoco-s45-r1	Isaac-Humanoid-Direct	mujoco	45	0	7
humanoid-direct-mujoco-adaptive-s45-r1	Isaac-Humanoid-Direct	mujoco-adaptive	45	0	34
humanoid-mujoco-s45-r1	Isaac-Humanoid	mujoco	45	1	5
humanoid-mujoco-adaptive-s45-r1	Isaac-Humanoid	mujoco-adaptive	45	0	50
velocity-flat-anymald-mujoco-s45-r1	Isaac-Velocity-Flat-AnymalD	mujoco	45	0	2
velocity-flat-anymald-mujoco-adaptive-s45-r1	Isaac-Velocity-Flat-AnymalD	mujoco-adaptive	45	0	15
velocity-flat-anymalb-mujoco-s45-r1	IsaacContrib-Velocity-Flat-AnymalB	mujoco	45	0	7
velocity-flat-anymalb-mujoco-adaptive-s45-r1	IsaacContrib-Velocity-Flat-AnymalB	mujoco-adaptive	45	0	19
velocity-flat-anymalc-mujoco-s45-r1	IsaacContrib-Velocity-Flat-AnymalC	mujoco	45	0	2
velocity-flat-anymalc-mujoco-adaptive-s45-r1	IsaacContrib-Velocity-Flat-AnymalC	mujoco-adaptive	45	0	15
velocity-flat-unitreea1-mujoco-s45-r1	IsaacContrib-Velocity-Flat-UnitreeA1	mujoco	45	0	4
velocity-flat-unitreea1-mujoco-adaptive-s45-r1	IsaacContrib-Velocity-Flat-UnitreeA1	mujoco-adaptive	45	0	10
velocity-flat-unitreego1-mujoco-s45-r1	IsaacContrib-Velocity-Flat-UnitreeGo1	mujoco	45	0	15
velocity-flat-unitreego1-mujoco-adaptive-s45-r1	IsaacContrib-Velocity-Flat-UnitreeGo1	mujoco-adaptive	45	0	20
velocity-flat-unitreego2-mujoco-s45-r1	Isaac-Velocity-Flat-UnitreeGo2	mujoco	45	0	6
velocity-flat-unitreego2-mujoco-adaptive-s45-r1	Isaac-Velocity-Flat-UnitreeGo2	mujoco-adaptive	45	0	10
velocity-flat-g1-mujoco-s45-r1	Isaac-Velocity-Flat-G1	mujoco	45	0	26
velocity-flat-g1-mujoco-adaptive-s45-r1	Isaac-Velocity-Flat-G1	mujoco-adaptive	45	0	202
velocity-flat-h1-mujoco-s45-r1	Isaac-Velocity-Flat-H1	mujoco	45	0	15
velocity-flat-h1-mujoco-adaptive-s45-r1	Isaac-Velocity-Flat-H1	mujoco-adaptive	45	0	36
cartpole-direct-mujoco-s46-r1	Isaac-Cartpole-Direct	mujoco	46	0	0
cartpole-direct-mujoco-adaptive-s46-r1	Isaac-Cartpole-Direct	mujoco-adaptive	46	0	0
cartpole-mujoco-s46-r1	Isaac-Cartpole	mujoco	46	0	0
cartpole-mujoco-adaptive-s46-r1	Isaac-Cartpole	mujoco-adaptive	46	0	0
reach-ur10-mujoco-s46-r1	Isaac-Reach-UR10	mujoco	46	0	8
reach-ur10-mujoco-adaptive-s46-r1	Isaac-Reach-UR10	mujoco-adaptive	46	0	13
ant-direct-mujoco-s46-r1	Isaac-Ant-Direct	mujoco	46	0	5
ant-direct-mujoco-adaptive-s46-r1	Isaac-Ant-Direct	mujoco-adaptive	46	0	16
ant-mujoco-s46-r1	Isaac-Ant	mujoco	46	0	5
ant-mujoco-adaptive-s46-r1	Isaac-Ant	mujoco-adaptive	46	0	16
humanoid-direct-mujoco-s46-r1	Isaac-Humanoid-Direct	mujoco	46	0	7
humanoid-direct-mujoco-adaptive-s46-r1	Isaac-Humanoid-Direct	mujoco-adaptive	46	0	37
